"Position","Featured Status","Property Title","Price","Size","Address","Property Type","Property Link","Agent Logo","Agent Name","Enquiry Link"
27,,"26 Queen Square, Bath, Bath...","£95,000.00 Per Annum","3,989 Sq Ft","26 Queen Square, Bath, Bath and North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6972274-26-queen-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6972274"
28,,"11a Kingsmead Square, Bath...","£23,000.00 Per Annum","860 Sq Ft","11a Kingsmead Square, Bath, Bath and North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6970384-11a-kingsmead-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6970384"
29,,"7 Kingsmead Square, Bath...","£52,000.00 Per Annum","1,900 Sq Ft","7 Kingsmead Square, Bath, Bath and North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6970383-7-kingsmead-square-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6970383"
30,,"The Malt House, 17-20 Sydney...","£31,000.00 Per Annum","1,603 Sq Ft","The Malt House, 17-20 Sydney Buildings, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6969891-the-malt-house-17-20-sydney-buildings-bath-somerset-ba2-6bz","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6969891"
31,,"Units 1 and 2 Mulberry Park...","£20,000.00 - £45,000.00 Per Annum","1,055 - 2,325 Sq Ft","Units 1 and 2 Mulberry Park, Combe Down...","General Retail, Retail","https://propertylink.estatesgazette.com/property-details/6967144-units-1-and-2-mulberry-park-combe-down-bath-bath-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6967144"
32,,"32 Milsom Street, BA1","£40,000.00 Per Annum","765 Sq Ft","32 Milsom Street, Bath, BA1 1DG","General Retail, Retail - High Street, Retail","https://propertylink.estatesgazette.com/property-details/6966942-32-milsom-street-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/841/AVISON_YOUNG.jpg","Avison young","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6966942"
33,,"3 The Office Village, Bath...","For sale: £360,000.00
To rent:...","2,240 Sq Ft","For sale: £360,000.00
To rent:...","Office, Healthcare, Offices, Other Property Types &...","https://propertylink.estatesgazette.com/property-details/6965903-3-the-office-village-bath-business-park-roman-way-peasedown-st-john-bath-somerset-ba2","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/205/burston_cook.png","Burston cook","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6965903"
34,,"We offer workspace options fully...","£1.00 Per Month","1 - 10,800 Sq Ft","2nd & 3rd Floors, Northgate House, Upper Borough...","Office, Serviced Office, Offices, Business park","https://propertylink.estatesgazette.com/property-details/6964867-we-offer-workspace-options-fully-tailored-to-your-needs-in-spaces-northgate-house","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/019/853/IWG.jpg","Iwg","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6964867"
35,,"First Floor Offices, Bath Cricket...","£40,500.00 Per Annum","1,620 Sq Ft","First Floor Offices, Bath Cricket Club, North Parade, Bath","Office, Offices","https://propertylink.estatesgazette.com/property-details/6964228-first-floor-offices-bath-cricket-club-north-parade-bath","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6964228"
36,,"No. 10 Henry Street, Henry...","ROA","1,273 - 4,178 Sq Ft","No. 10 Henry Street, Henry Street Bath, Bath, BA1...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6963754-no-10-henry-street-henry-street-bath-ba1","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/016/269/Savills_Logo.jpg","Savills logo","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6963754"
37,,"6 Terrace Walk, Bath, Bath And...","£25,000.00 Per Annum","1,144 Sq Ft","6 Terrace Walk, Bath, Bath And North East...","Office, Retail - High Street, Other, Offices, Retail...","https://propertylink.estatesgazette.com/property-details/6962602-6-terrace-walk-bath-bath-and-north-east-somerset-ba1-1ln","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6962602"
38,,"Bellotts Road, Bath, Somerset...","£10.00 Per Sq Ft","2,147 - 5,003 Sq Ft","Bellotts Road, Bath, Somerset, BA2 3RT","General Industrial, Industrial","https://propertylink.estatesgazette.com/property-details/6961142-bellotts-road-bath-somerset-ba2-3rt","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6961142"
39,,"25 Queen Square, Bath, Bath...","ROA","627 - 4,150 Sq Ft","25 Queen Square, Bath, Bath And North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6960247-25-queen-square-bath-bath-and-north-east-somerset-ba1-2hx","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6960247"
40,,"5 Kelso Place, Kelso Place...","£27,500.00 Per Annum","1,400 Sq Ft","5 Kelso Place, Kelso Place, Upper Bristol Road...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6958563-5-kelso-place-kelso-place-upper-bristol-road-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6958563"
41,,"Kings Head, 40 High Street...","ROA","1,660 Sq Ft","Kings Head, 40 High Street, Weston, Bath...","General Retail, Restaurants/Cafes, Retail, Licensed &...","https://propertylink.estatesgazette.com/property-details/6956558-kings-head-40-high-street-weston-bath-bath-and-north-east-somerset","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6956558"
42,,"1a Piccadilly Place, London...","£25,000.00 Per Annum","2,840 Sq Ft","Office, Retail - High Street, Restaurants/Cafes...","Office, Retail - High Street, Restaurants/Cafes...","https://propertylink.estatesgazette.com/property-details/6956059-1a-piccadilly-place-london-road-bath-ba1-6pl","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6956059"
43,,"4th Floor, Cambridge House...","ROA","5,500 Sq Ft","4th Floor, Cambridge House, Henry Street...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6953158-4th-floor-cambridge-house-henry-street-bath-ba1-1jt","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6953158"
44,,"Abbeygate House, 1a...","£30,000.00 Per Annum","1,478 - 3,402 Sq Ft","Abbeygate House, 1a Abbeygate Street, Bath, Bath...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6949665-abbeygate-house-1a-abbeygate-street-bath-bath-and-north-east-somerset-ba1-1np","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6949665"
45,,"First Floor, Riverside North...","£23,250.00 Per Annum","930 Sq Ft","First Floor, Riverside North, Walcot Yard...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6949367-first-floor-riverside-north-walcot-yard-walcot-street-bath-ba1-5bg","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/237/CJ-logo-NEW---RGB.png","Cj logo new   rgb","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6949367"
46,,"Unit N4, Beehive Yard, Bath...","£12,000.00 Per Annum","493.53 Sq Ft","Unit N4, Beehive Yard, Bath, Bath And North East...","Office, Offices","https://propertylink.estatesgazette.com/property-details/6948551-unit-n4-beehive-yard-bath-bath-and-north-east-somerset-ba1-5bt","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6948551"
47,,"13-14 George Street, Bath, Bath...","£69,950.00 Per Annum","2,873 Sq Ft","13-14 George Street, Bath, Bath And North East...","Retail - High Street, Restaurants/Cafes, Pubs/Bars/Clubs...","https://propertylink.estatesgazette.com/property-details/6942427-13-14-george-street-bath-bath-and-north-east-somerset-ba1-2en","https://propertylinkassets.estatesgazette.com/images/hub/profile_images/000/017/993/c_squared.jpg","C squared","https://propertylink.estatesgazette.com/commercial-property-for-rent/bath/page-2#enquiry-modal-6942427"
